variable,count,missing,missing_pct,mean,median,mode,min,p25,p50,p75,max,coef_var_pct,skew,kurtosis,metodo_sugerido_global,lower,upper,outliers,ratio,shapiro_p,approx_normal
precio,6580,0,0.0,9504778.929027356,6164711.0,8500000.0,400000.0,3800000.0,6164711.0,10800000.0,79000000.0,102.16083934413595,2.713757251600392,9.37184361825284,mediana_IQR,-6700000.0,21300000.0,656,0.09969604863221884,,False
area_m2,6580,0,0.0,229.001367781155,157.5,400.0,25.0,88.0,157.5,300.0,4024.0,95.97430189508559,3.4399760398721337,25.879896378324894,mediana_IQR,-230.0,618.0,329,0.05,,False
PxM2,6580,0,0.0,45079.71183925253,41740.43083180953,50000.0,1452.1739130434785,30106.306215599412,41740.43083180953,57897.010646846116,192000.0,45.34720801152174,1.0208866099470586,2.4157648430114254,mediana_IQR,-11579.750431270644,99583.06729371617,90,0.013677811550151976,,False
